"date","discharge","qc_flag","qc_type","qc_detect_method","temp_res","temp_res_dom","dq_issue","cpd_segment_id","cpd_segment_main"
"2006-01-01",506.35,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-02",505.242,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-03",502.754,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-04",497.942,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-05",495.942,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-06",494.75,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-07",491.767,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-08",489.717,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-09",488.283,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-10",488.467,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-11",489.3,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-12",491.946,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-13",490.846,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-14",489.792,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-15",491.783,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-16",488.633,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-17",485.629,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-18",483.583,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-19",478.092,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-20",471.717,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-21",471.075,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-22",469.371,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-23",464.667,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-24",461.3,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-25",461.087,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-26",462.425,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-27",460.837,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-28",458.071,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-29",455.688,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-30",464.167,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-31",483.075,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-01",485.954,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-02",492.242,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-03",498,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-04",499.246,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-05",495.654,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-06",486.858,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-07",476.908,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-08",469.413,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-09",465.333,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-10",461.587,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-11",456.408,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-12",451.596,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-13",449.15,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-14",446.95,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-15",445.625,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-16",448.546,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-17",462.262,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-18",464.725,FALSE,NA,NA,"<= day","daily",NA,NA,NA
