"date","discharge","qc_flag","qc_type","qc_detect_method","temp_res","temp_res_dom","dq_issue","cpd_segment_id","cpd_segment_main"
"2011-10-01",65.35,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-02",65.07,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-03",64.97,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-04",64.88,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-05",64.78,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-06",65.07,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-07",65.5,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-08",65.88,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-09",66.32,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-10",66.42,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-11",66.71,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-12",67.69,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-13",68.37,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-14",68.37,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-15",68.13,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-16",68.03,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-17",68.03,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-18",68.03,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-19",67.74,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-20",67.2,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-21",66.9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-22",66.71,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-23",66.56,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-24",66.51,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-25",66.51,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-26",66.46,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-27",66.03,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-28",65.69,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2011-10-29",65.45,FALSE,NA,NA,"<= day","daily",NA,NA,NA
