"date","discharge","qc_flag","qc_type","qc_detect_method","temp_res","temp_res_dom","dq_issue","cpd_segment_id","cpd_segment_main"
"2017-06-13",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-14",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-15",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-16",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-17",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-18",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-19",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-20",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-21",11,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-22",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-23",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-24",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-25",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-26",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-27",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-28",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-29",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-06-30",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-01",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-02",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-03",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-04",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-05",10,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-06",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-07",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-08",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-09",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-10",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-11",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-12",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-13",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-14",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-15",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-16",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-17",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-18",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-19",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-20",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-21",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-22",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-23",9,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-24",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-25",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-26",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-27",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-28",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-29",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-30",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-07-31",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-01",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-02",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-03",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-04",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-05",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-06",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-07",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-08",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-09",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-10",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-11",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-12",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-13",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-14",8,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-15",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-16",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2017-08-17",7,FALSE,NA,NA,"<= day","daily",NA,NA,NA
