"date","discharge","qc_flag","qc_type","qc_detect_method","temp_res","temp_res_dom","dq_issue","cpd_segment_id","cpd_segment_main"
"2006-01-01",27.35,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-02",27.72,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-03",27.708,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-04",27.188,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-05",26.806,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-06",26.435,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-07",25.938,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-08",25.602,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-09",25.289,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-10",25.359,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-11",24.884,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-12",24.896,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-13",24.641,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-14",24.884,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-15",24.583,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-16",23.819,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-17",23.426,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-18",23.414,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-19",23.044,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-20",22.824,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-21",22.488,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-22",21.887,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-23",22.118,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-24",21.863,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-25",21.562,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-26",21.47,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-27",21.204,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-28",21.331,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-29",20.972,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-30",20.671,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-01-31",20.451,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-01",20.231,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-02",20.104,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-03",19.896,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-04",19.954,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-05",19.421,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-06",19.051,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-07",18.831,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-08",18.796,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-09",18.738,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-10",18.426,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-11",18.414,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-12",18.229,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-13",17.731,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-14",17.465,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-15",17.303,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-16",18.09,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-17",20.764,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-18",19.792,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-19",18.519,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-20",17.951,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-21",17.488,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-22",17.153,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-23",16.806,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-24",16.528,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-25",16.551,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-26",16.146,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-27",15.741,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-02-28",15.463,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-03-01",15.15,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-03-02",14.896,FALSE,NA,NA,"<= day","daily",NA,NA,NA
"2006-03-03",14.757,FALSE,NA,NA,"<= day","daily",NA,NA,NA
