,ALPAKAS_ID,testing_start,training_start
0,FR-0033,2021-11-28,2018-12-22
1,AT-0004,2022-01-01,1998-01-01
2,AT-0005,2022-01-01,1980-06-01
3,AT-0007,2022-01-01,1976-01-01
4,AT-0008,2022-01-01,1997-01-01
5,AT-0009,2022-01-01,1999-01-01
6,AT-0010,2022-01-01,1998-01-01
7,AT-0011,2022-01-01,2006-01-01
8,AT-0012,2022-01-01,2015-06-16
9,AT-0013,2022-01-01,1997-01-03
10,AT-0014,2022-01-01,1998-01-01
11,AT-0015,2022-01-01,1992-01-01
12,AT-0018,2018-08-19,1999-09-12
13,AT-0020,2022-01-01,1992-08-27
14,AT-0021,2022-01-01,1999-09-16
15,AT-0023,2022-01-01,2000-07-01
16,AT-0024,2021-01-01,2003-01-01
17,AT-0025,2021-01-01,2007-11-15
18,AT-0026,2017-07-30,2008-01-01
19,AT-0027,2021-01-01,1995-02-01
20,AT-0029,2021-01-01,1996-01-01
21,AT-0030,2021-01-01,1999-07-01
22,AT-0033,2022-01-01,2012-09-24
23,AT-0035,2022-01-01,1996-01-01
24,AT-0039,2022-01-01,2000-05-24
25,AT-0040,2011-10-08,1997-07-01
26,AT-0041,2021-01-01,1995-01-01
27,AT-0043,2021-01-01,1997-01-01
28,AT-0046,2021-01-01,1999-04-17
29,AT-0053,2019-01-01,2003-01-01
30,AT-0055,2019-01-01,2010-07-01
31,AT-0056,2019-01-01,2007-01-01
32,AT-0058,2021-01-01,2008-10-23
33,AT-0062,2021-01-01,2011-07-14
34,AT-0063,2021-01-01,2014-01-01
35,CH-0001,2004-10-04,1981-01-02
36,CH-0004,2023-01-01,1974-01-01
37,CH-0005,2022-12-01,1988-05-11
38,CH-0006,2021-08-25,1999-04-14
39,CH-0008,2023-01-01,2009-02-26
40,CH-0010,2023-01-01,2003-05-14
41,CH-0012,2023-01-01,2003-10-30
42,CH-0016,2023-01-01,2000-01-01
43,CH-0018,2022-12-14,2010-06-18
44,DE-0015,2023-01-01,1955-11-01
45,DE-0019,2023-01-01,2013-01-16
46,FR-0007,2022-01-02,1983-10-15
47,FR-0011,2022-01-02,1976-09-29
48,FR-0013,2022-01-02,1969-02-21
49,FR-0034,2021-12-13,2013-10-01
50,SI-0012,2017-01-01,2005-09-29
51,SI-0016,2017-01-01,1950-01-01
52,SI-0035,1972-01-01,1961-01-01
53,SI-0042,2017-01-01,1955-01-01
54,CH-0026,2015-01-01,1992-09-24
55,FR-0024,2022-01-02,1966-01-02
56,SI-0038,2017-01-01,1961-01-01
57,AT-0006,2022-01-01,1991-01-01
58,AT-0037,2022-01-01,1998-01-01
59,AT-0060,2022-01-01,2008-01-23
60,AT-0001,2022-01-01,1995-08-10
61,AT-0038,2022-01-01,1999-01-01
62,AT-0019,2018-11-04,2008-07-14
63,AT-0022,2022-01-01,2000-01-01
